,Qtotal
153,16.715913460741465
154,10.201295979992054
155,0.462111995442835
156,25.72604894612478
157,66.40695889599064
158,74.19465669819638
159,46.21653983500326
160,67.44795363702112
161,41.51502327845486
162,19.99234298642132
163,9.049178348216532
164,-2.14269461316621
165,-3.7933297232208556
166,465.86924202080866
167,462.6013654219228
168,285.3810697325465
169,123.7933864789649
170,242.43316694641703
171,174.8149043387591
172,197.00203782911169
173,247.95197980425206
174,158.27851397245297
175,77.81346798806999
176,26.62761068572451
177,45.230321388627345
178,43.15341205539827
179,38.27409984837721
180,82.60907579798975
181,55.11689183733915
182,70.14982244378531
183,38.18930421052322
184,17.211145299288887
185,32.106859384132214
186,46.11761204500001
187,42.33440584727087
188,19.53923167358824
189,6.263521921960013
190,-0.9763953993037982
191,-3.886232215485234
192,-5.397344733074799
193,173.8187222539196
194,139.65230032123836
195,84.84731035427828
196,56.37987131927607
197,63.37993505963516
198,65.05680255289118
199,36.051880721166526
200,15.684178197359408
201,3.9049948813622115
202,-2.0414073676380586
203,83.31589421307834
204,860.3559757297999
205,715.4388752550424
206,410.1019717133245
207,162.8745075229252
208,126.55450392664588
209,71.43992879858473
210,36.65500951251768
211,12.143913454262384
212,18.993980708459294
213,134.14689323411554
214,166.93254829934597
215,159.1484357536024
216,88.69046897157553
217,39.73325276136092
218,12.144841204523447
219,1.5802554935627748
220,1.5360418096426147
221,-3.4318055301552666
222,-3.00136159934515
223,-1.3217850099983166
224,-2.599655767536051
225,-1.446459288428878
226,30.907528045845545
227,40.10352925346564
228,184.202955905044
229,161.77358815222144
230,172.8444053721339
231,108.8998893548967
232,54.07826490300482
233,27.896650276435594
234,40.874962066454856
235,47.722533992629735
236,118.08329376433812
237,95.64982532672016
238,295.4649128215281
239,240.1219573834639
240,134.93898378187822
241,55.90762764319441
242,27.33264656912434
243,9.685654636094668
244,4.8447360267010176
245,107.47742775597173
246,118.46036406195688
247,84.99641199276044
248,42.43096420361445
249,15.711600207879439
250,5.719699727756879
251,1.861606121555203
252,-0.3989792629837714
253,-0.5691609303796521
254,0.1321650841536847
255,0.30261305664546473
256,93.55251165888572
257,107.6347217305007
258,69.40153837054748
259,32.95059849975617
260,71.29442780349962
261,51.45855936205804
262,53.39565285888465
263,31.319531407161584
264,122.14385521177684
265,184.31604689524366
266,129.61428888347223
267,67.98878802288976
268,26.424034001774025
269,8.629006643496718
270,2.625885655519574
271,0.8749773882095229
272,0.4107641575350702
273,0.29545081610943164
274,12.128433578598397
275,7.524168499230154
276,5.244466770817357
277,2.521942192082162
278,0.986480391017074
279,0.4585782424630017
280,12.164931397731694
281,21.848605877695
282,63.05304725047637
283,90.9088573501926
284,329.5114834996117
285,286.1152517695854
286,168.21631435286278
287,70.55486219491429
288,165.84774886999415
289,124.37083857320307
290,82.13845224153346
291,85.07931821220217
292,131.7830249823444
293,88.07718896503286
294,81.63425914987698
295,35.2977651912928
296,64.07857986875139
297,73.4071899089423
298,48.36928405293667
299,24.564757328548964
300,48.578444702393384
301,63.92992926193866
302,46.64542761573506
303,21.77940286667538
304,19.78654312598537
305,12.278565183011185
306,6.526691201422322
307,63.45406021567661
308,41.39102097480821
309,41.423898749502754
310,56.30438589283064
311,170.46162570982983
312,251.91998129583385
313,218.51940505960872
314,116.19753688810894
315,44.78800885474307
316,34.61997019890544
317,14.292929779290656
318,46.517401237978945
